name,genre,year
Let Me Have This,Rock,1900
Do What You Wanna Do,,1900
I Wanted You To Feel The Same,Rock,1900
Pet Grief,Rock,1900
Street Life,,1900
Clean Up Woman,RnB,1900
Inside of Me,,1900
What You Sell,,1900
Liebesfreud,,1919
Liebesleid,Jazz,1919
Tired as i can be,Blues,1933
The Very Thought of You,,1935
Pennies From Heaven,,1935
I Wanna Be Around,Jazz,1950
Sound Check,Reggae,1951
Singin' in the Rain,,1952
Brave Margot,,1952
It's Bad For Me,,1952
Kuru/Speak Like A Child,Jazz,1954
Donna Lee,,1954
I'll Never Be the Same,,1955
One Piece At A Time,Country,1955
Big Cat,World,1956
Blue 7,Jazz,1956
In The Park,,1956
La plus que lente,,1957
Love for Sale,,1957
Teddy Bear,Country,1957
Sanctuary,,1957
There You Go,Rock,1958
All Shook Up,,1958
Douze Belles Dans La Peau,,1958
Blue Hawaii,,1958
I Got Stripes,,1958
Freddie Freeloader,,1959
All Blues,,1959
Appalachian Spring,,1959
Blue in Green,,1959
Bird Calls,Jazz,1959
I Got Stung,,1959
The Master's Call,,1960
Fire Waltz,,1960
Solea,,1960
Chevrolet,Blues,1960
Stolen Moments,,1961
We Travel the Spaceways,Jazz,1961
Equinox,,1961
Central Park West,,1961
House of the Rising Sun,Rock,1962
The One Who Really Loves You,,1962
I Won't Dance,,1962
Most Likely You Go Your Way (And I'll Go Mine),,1962
The Very Thought Of You,,1962
Country Pie,,1962
Gospel Plow,,1962
Black Crow Blues,Folk,1962
Driftin',,1962
Drifter's Escape,Rock,1962
Nashville Skyline Rag,Country,1962
Misirlou,,1962
"Honey, Just Allow Me One More Chance",,1963
Jackson,,1963
Here Comes Santa Claus,,1963
Bob Dylan's Dream,,1963
Back At The Chicken Shack,,1963
Couleur Café,,1964
I Shall Be Free No. 10,,1964
Stop Your Sobbing,Rock,1964
Crazy Train,,1964
Peggy-O,,1964
I Thought About You,,1964
Atlantis,,1964
April Come She Will,,1964
The 59th Street Bridge Song (Feelin' Groovy),,1964
Talkin' World War III Blues,Folk,1964
Around And Around,,1964
Can I Get a Witness,Rap,1964
Empty Heart,,1964
Walking The Dog,,1964
If You Need Me,,1964
Overs,,1964
Send in the Clowns,,1964
Ballad of Hollis Brown,Rock,1964
All Day and All of the Night,,1964
Moon River,,1964
Grown Up Wrong,,1964
O Tannenbaum,,1965
Off The Hook,,1965
Honest I Do,,1965
I'm A King Bee,,1965
Goin' Back,Rock,1965
Night Time Is the Right Time,Rock,1965
Down The Road Apiece,,1965
What A Shame,Rock,1965
What Child Is This,,1965
Milk and Honey,,1965
Tombstone Blues,,1965
She Said Yeah,Rock,1965
The Singer Not The Song,,1965
My Little Drum,Jazz,1965
The Times They Are A-Changin',,1965
Mercy Mercy,,1965
Christmas Is Coming,,1965
Dirty Robber,,1965
For Your Precious Love,,1965
Spanish Harlem Incident,,1965
Pain In My Heart,Country,1965
Outlaw Blues,,1965
Once I Loved,Jazz,1965
Houston,Country,1965
Queen Jane Approximately,,1965
And I Love Him,,1965
Hitch Hike,Rock,1965
Cleo's Mood,,1965
I Knew I'd Want You,,1965
You Don't Miss Your Water,RnB,1965
You Didn't Have To Be So Nice,,1965
London Calling,,1965
